product_id,product_parent_id,product_name,product_description,product_quantity,product_code,product_published,product_hit,product_created,product_sale_start,product_sale_end,product_delay_id,product_tax_id,product_type,product_vendor_id,product_manufacturer_id,product_url,product_weight,product_keywords,product_weight_unit,product_modified,product_meta_description,product_dimension_unit,product_width,product_length,product_height,product_max_per_order,product_access,product_group_after_purchase,product_min_per_order,product_contact,product_display_quantity_field,product_last_seen_date,product_sales,product_waitlist,product_layout,product_average_score,product_total_vote,product_page_title,product_alias,product_price_percentage,product_msrp,product_canonical,product_warehouse_id,product_quantity_layout,product_sort_price,product_description_raw,product_description_type,product_option_method,product_condition,short_desc,aparat_id,amper,voltage,cells,guaranty,code,price_id,price_currency_id,price_product_id,price_value,price_min_quantity,price_access,price_users,price_site_id,price_start_date,price_end_date,images,categories,ordering
699,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1382,"<p> </p>
<p> <strong>باتری لپ تاپ اپل مدل  A1382 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>
<p>APPLE  A1286</p>
</li>
<li>
<p>APPLE  A1382</p>
</li>
<li>Apple MacBook Pro 15 inch A1286</li>
<li>Apple MacBook 13 inch</li>
<li>Apple MacBook Pro 13 inch</li>
<li>Apple MacBook Pro 17 inch</li>
<li>Apple MacBook Pro 2011</li>
<li>Apple MacBook Pro 2012</li>
</ul>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1382 شامل <strong>4</strong> <strong>ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1382  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",-1,ORGPB699,1,1416,1623280678,0,0,0,11,main,0,0, ,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1382,0,0,,0,,1180000,,html,,,,,77.5 وات ساعت,10.95V,6,چهار ماهه نارین,25,1,183,699,1180000,0,all,,,0,0,fdde1da287ef645878d672d35edb2d9e.jpg,74,1
700,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1496,"<p><strong>باتری لپ تاپ اپل مدل  A1496 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1466</li>
<li>APPLE A1496</li>
<li>APPLE A1405</li>
<li>APPLE A1377</li>
<li>APPLE A1369</li>
<li>Apple Macbook Air 13.3"" A1496</li>
<li>Apple MacBook Air 13"" A1466</li>
<li>Apple MacBook Air 2013</li>
<li>Apple MacBook Air 2014</li>
<li>Apple MacBook Air 2015</li>
</ul>
<p> انواع پارت نامبرهای مشابه :  A1466 , A1496 , A1405 , A1377 ,  A1369</p>
<p><span style=""background-color: #ffffff; color: #ff0000;""><strong>برای اطمینان از اصالت باتری ها ، میتوانید صفحه اینستاگرام ما را دنبال کنید :</strong></span></p>
<p>                                        <a href=""https://www.instagram.com/orgbattery"">instagram:orgbattery</a></p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1496 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1496  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",-1,ORGPB700,1,1705,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1496,0,0,,0,,1500000,,html,,,,,7200 میلی آمپر ساعت,7.6V,4,چهار ماهه نارین,21,2,183,700,1500000,0,all,,,0,0,1c50d52dbe9254e500a5390a4a3fecb7.jpg,74,2
701,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1494,"<p style=""text-align: justify;""><strong>باتری لپ تاپ اپل مدل  A1494 </strong> برای لپ تاپ های سری:</p>
<ul>
<li><span style=""font-size: 13.3333px;"">Apple A1398</span></li>
<li><span style=""font-size: 10pt;"">Apple A1494</span></li>
<li><span style=""font-size: 10pt;"">Apple Macbook Pro 15"" A1398</span></li>
<li><span style=""font-size: 10pt;"">Apple Macbook Pro  A1398 2013</span></li>
<li><span style=""font-size: 10pt;"">Apple Macbook Pro  A1398 2014</span></li>
</ul>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1494 شامل <strong>4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1494  می توانید با کارشناس های ما از طریق شماره 02166463720 در تماس باشید .</p>",-1,ORGPB701,1,1385,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1494,0,0,,0,,1720000,,html,,,,,95 وات ساعت,11.26V,6,چهار ماهه نارین,22,3,183,701,1720000,0,all,,,0,0,1a0ade594615258bb3adf62b1e1130bb.jpg,74,3
702,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1406,"<p><strong>باتری لپ تاپ اپل مدل  A1406 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1370</li>
<li>APPLE A1406 </li>
<li>APPLE A1495</li>
<li>APPLE A1465</li>
<li>APPLE MacBook Air 11"" <span class=""highlight"">A1370</span> </li>
<li>APPLE MacBook Air 11"" <span class=""highlight"">A1370</span> mid-2011</li>
<li>APPLE MacBook Air 11"" A1465 mid-2012</li>
<li>APPLE MacBook Air 11"" A1465 mid-2013</li>
<li>APPLE MacBook Air 11"" A1465 early-2014</li>
</ul>
<p> انواع پارت نامبر های مشابه : A1495 , A1465 , A1370 , A1406</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1406 شامل <strong>4</strong> <strong>ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1406  می توانید با کارشناس های ما از طریق شماره 02166463720 در تماس باشید .</p>",-1,ORGPB702,1,1093,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1406,0,0,,0,,1450000,,html,,,,,35 وات ساعت,7.3V,6,چهار ماهه نارین,23,4,183,702,1450000,0,all,,,0,0,9e7fc301c24011e6d40ec6dd798bf290.jpg,74,4
703,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1322,"<hr />
<p><strong>باتری لپ تاپ اپل مدل  A1322 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1278</li>
<li>APPLE A1322</li>
<li>Apple MacBook Pro 13.3"" 2009</li>
<li>Apple MacBook Pro 13.3"" 2010</li>
<li>Apple MacBook Pro 13"" 2011</li>
<li>Apple MacBook Pro 13 inch A1278</li>
</ul>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1322 شامل <strong>6 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1322  می توانید با کارشناس های ما  از طریق شماره 02166463720 در تماس باشید.</p>",-1,ORGPB703,1,2352,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1322,0,0,,0,,1210000,,html,,,,,6000 میلی آمپر ساعت,10.95V,6,شش ماهه نارین,24,5,183,703,1210000,0,all,,,0,0,1c02df27d352caf7b0780fd631512bf4.jpg,74,5
783,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1493,"<div class=""inlinefaketitle"">
<p><strong>باتری لپ تاپ اپل مدل  A1493 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1493</li>
<li>APPLE A1502</li>
<li>""APPLE MacBook Pro 13</li>
<li>APPLE MacBook Pro 13"" 2013</li>
</ul>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1493 شامل <strong>4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1493  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>
</div>",-1,ORGPB783,1,1166,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1493,0,0,,0,,1800000,,html,,,,,---,11.34V,71.8wh,چهار ماهه نارین,26,6,183,783,1800000,0,all,,,0,0,dd9b4b0a80eff28fc65a7f105431f022.jpg,74,6
809,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1321,"<div class=""inlinefaketitle"">
<p><strong>باتری لپ تاپ اپل مدل  A1321 </strong> برای لپ تاپ های سری:</p>
<ul>
<li><strong>APPLE MacBook Pro A1321</strong></li>
<li><strong>APPLE MacBook Pro A1382</strong></li>
<li><strong>APPLE MacBook Pro 15 inch A1286</strong></li>
</ul>
<p> انواع پارت نامبرهای مشابه :  <strong>A1321 , A1382</strong></p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل <strong>A1321</strong> شامل <strong>4</strong> <strong>ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل <strong>A1321</strong>  میppl توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>
</div>",-1,ORGPB809,1,1856,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1321,0,0,,0,,1170000,,html,,,,,5600 میلی آمپر ساعت,11.1v,---,چهار ماهه نارین,27,7,183,809,1170000,0,all,,,0,0,2e83d7bc595a142d5b8cc7504455fc0e.jpg,74,7
860,0,باتری لپ تاپ اپل مدل Battery Orginal Apple A1964,"<p><strong>باتری لپ تاپ اپل مدل  A1964 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1964</li>
<li>Apple Macbook Retina 13"" A1989 2017-2018</li>
<li>Apple Macbook Pro 2018 13 EMC3214 A1989</li>
</ul>
<p> انواع پارت نامبرهای مشابه :  A1989 , A1964</p>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1964 شامل <strong>6 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1964 می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",-1,ORGPB860,1,146,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1964,0,0,,0,,3400000,,html,,,,,5086mAh,11.41V,---,شش ماهه نارین,30,8,183,860,3400000,0,all,,,0,0,fe9f389134b872478c99a836d55de88e.jpg,74,8
886,0,باتری لپ تاپ اپل مدل Battery Original Apple A1582,"<p><strong>باتری لپ تاپ اپل مدل  A1582 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1582</li>
<li>(APPLE A1502 (2015 year</li>
<li>Apple Macbook Pro A1502 2015</li>
</ul>
<p> انواع پارت نامبرهای مشابه :   A1582<strong> </strong> , A1502</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل <strong>A1582 </strong>شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل <strong>A1582 </strong>  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",-1,ORGPB886,1,1252,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1582,0,0,,0,,3350000,,html,,,,,6559mah/74.9Wh,11.42V,---,چهار ماهه نارین,321,9,183,886,3350000,0,all,,,0,0,0b2c0f4f7276d5cab9ebf370bc3a4b57.jpg,74,9
911,0,باتری لپ تاپ اپل مدل Battery Original Apple A1964,"<p><strong>باتری لپ تاپ اپل مدل  A1496 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1990</li>
<li>APPLE A1964</li>
<li>APPLE A1989</li>
<li>Apple Macbook Retina 13"" A1989 2017-2018</li>
<li>Apple Macbook Pro 2018 13 EMC3214 A1989</li>
</ul>
<p> انواع پارت نامبرهای مشابه :   A1989 , A1964 ,  A1990</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل  A1990 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل  A1990 می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",-1,ORGPB911,1,850,1623280678,0,0,0,11,main,0,0,,0,,g,,,cm,0,0,0,0,all,,0,0,0,1624534189,0,0,,0,0,,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1964,0,0,,0,,3800000,,html,,,,,58Wh/5086mAh,11.41V,---,چهار ماهه نارین,322,10,183,911,3800000,0,all,,,0,0,5d7e022bfc88ea606725533249e32b08.jpg,74,10
