ID,Title,Alias,Introtext,Publish Up,Publish Down,Created,hits,Image,Meta Description,Meta Keywords,catid,product_code,ampere,voltage,cells,guaranty,Replacement For :
699,باتری لپ تاپ اپل مدل Battery Orginal Apple A1382,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1382,"<p> </p>
<p> <strong>باتری لپ تاپ اپل مدل  A1382 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>
<p>APPLE  A1286</p>
</li>
<li>
<p>APPLE  A1382</p>
</li>
<li>Apple MacBook Pro 15 inch A1286</li>
<li>Apple MacBook 13 inch</li>
<li>Apple MacBook Pro 13 inch</li>
<li>Apple MacBook Pro 17 inch</li>
<li>Apple MacBook Pro 2011</li>
<li>Apple MacBook Pro 2012</li>
</ul>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1382 شامل <strong>4</strong> <strong>ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1382  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",4/2/2021 19:30,0000-00-00 00:00:00,0778-08-29 20:34:16,1416,IMAGEPATHKH/fdde1da287ef645878d672d35edb2d9e.jpg,,,74,25,77.5 وات ساعت,10.95V,6,چهار ماهه نارین,1180000
700,باتری لپ تاپ اپل مدل Battery Orginal Apple A1496,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1496,"<p><strong>باتری لپ تاپ اپل مدل  A1496 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1466</li>
<li>APPLE A1496</li>
<li>APPLE A1405</li>
<li>APPLE A1377</li>
<li>APPLE A1369</li>
<li>Apple Macbook Air 13.3"" A1496</li>
<li>Apple MacBook Air 13"" A1466</li>
<li>Apple MacBook Air 2013</li>
<li>Apple MacBook Air 2014</li>
<li>Apple MacBook Air 2015</li>
</ul>
<p> انواع پارت نامبرهای مشابه :  A1466 , A1496 , A1405 , A1377 ,  A1369</p>
<p><span style=""background-color: #ffffff; color: #ff0000;""><strong>برای اطمینان از اصالت باتری ها ، میتوانید صفحه اینستاگرام ما را دنبال کنید :</strong></span></p>
<p>                                        <a href=""https://www.instagram.com/orgbattery"">instagram:orgbattery</a></p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1496 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1496  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",6/2/2021 19:30,0000-00-00 00:00:00,6/2/2021 19:30,1705,IMAGEPATHKH/1c50d52dbe9254e500a5390a4a3fecb7.jpg,,,74,21,7200 میلی آمپر ساعت,7.6V,4,چهار ماهه نارین,1500000
701,باتری لپ تاپ اپل مدل Battery Orginal Apple A1494,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1494,"<p style=""text-align: justify;""><strong>باتری لپ تاپ اپل مدل  A1494 </strong> برای لپ تاپ های سری:</p>
<ul>
<li><span style=""font-size: 13.3333px;"">Apple A1398</span></li>
<li><span style=""font-size: 10pt;"">Apple A1494</span></li>
<li><span style=""font-size: 10pt;"">Apple Macbook Pro 15"" A1398</span></li>
<li><span style=""font-size: 10pt;"">Apple Macbook Pro  A1398 2013</span></li>
<li><span style=""font-size: 10pt;"">Apple Macbook Pro  A1398 2014</span></li>
</ul>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1494 شامل <strong>4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1494  می توانید با کارشناس های ما از طریق شماره 02166463720 در تماس باشید .</p>",1399-11-29 20:34:16,0000-00-00 00:00:00,4/3/2021 11:35,1385,IMAGEPATHKH/1a0ade594615258bb3adf62b1e1130bb.jpg,,,74,22,95 وات ساعت,11.26V,6,چهار ماهه نارین,1720000
702,باتری لپ تاپ اپل مدل Battery Orginal Apple A1406,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1406,"<p><strong>باتری لپ تاپ اپل مدل  A1406 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1370</li>
<li>APPLE A1406 </li>
<li>APPLE A1495</li>
<li>APPLE A1465</li>
<li>APPLE MacBook Air 11"" <span class=""highlight"">A1370</span> </li>
<li>APPLE MacBook Air 11"" <span class=""highlight"">A1370</span> mid-2011</li>
<li>APPLE MacBook Air 11"" A1465 mid-2012</li>
<li>APPLE MacBook Air 11"" A1465 mid-2013</li>
<li>APPLE MacBook Air 11"" A1465 early-2014</li>
</ul>
<p> انواع پارت نامبر های مشابه : A1495 , A1465 , A1370 , A1406</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1406 شامل <strong>4</strong> <strong>ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1406  می توانید با کارشناس های ما از طریق شماره 02166463720 در تماس باشید .</p>",5/14/2021 19:30,0000-00-00 00:00:00,0778-09-08 20:34:16,1093,IMAGEPATHKH/9e7fc301c24011e6d40ec6dd798bf290.jpg,,,74,23,35 وات ساعت,7.3V,6,چهار ماهه نارین,1450000
703,باتری لپ تاپ اپل مدل Battery Orginal Apple A1322,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1322,"<hr />
<p><strong>باتری لپ تاپ اپل مدل  A1322 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1278</li>
<li>APPLE A1322</li>
<li>Apple MacBook Pro 13.3"" 2009</li>
<li>Apple MacBook Pro 13.3"" 2010</li>
<li>Apple MacBook Pro 13"" 2011</li>
<li>Apple MacBook Pro 13 inch A1278</li>
</ul>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1322 شامل <strong>6 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1322  می توانید با کارشناس های ما  از طریق شماره 02166463720 در تماس باشید.</p>",4/2/2021 19:30,0000-00-00 00:00:00,1399-12-01 20:34:16,2352,IMAGEPATHKH/1c02df27d352caf7b0780fd631512bf4.jpg,,,74,24,6000 میلی آمپر ساعت,10.95V,6,شش ماهه نارین,1210000
783,باتری لپ تاپ اپل مدل Battery Orginal Apple A1493,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1493,"<div class=""inlinefaketitle"">
<p><strong>باتری لپ تاپ اپل مدل  A1493 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1493</li>
<li>APPLE A1502</li>
<li>""APPLE MacBook Pro 13</li>
<li>APPLE MacBook Pro 13"" 2013</li>
</ul>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1493 شامل <strong>4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1493  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>
</div>",6/2/2021 19:30,0000-00-00 00:00:00,1400-02-24 20:34:16,1166,IMAGEPATHKH/dd9b4b0a80eff28fc65a7f105431f022.jpg,,,74,26,,11.34V,71.8wh,چهار ماهه نارین,1800000
809,باتری لپ تاپ اپل مدل Battery Orginal Apple A1321,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1321,"<div class=""inlinefaketitle"">
<p><strong>باتری لپ تاپ اپل مدل  A1321 </strong> برای لپ تاپ های سری:</p>
<ul>
<li><strong>APPLE MacBook Pro A1321</strong></li>
<li><strong>APPLE MacBook Pro A1382</strong></li>
<li><strong>APPLE MacBook Pro 15 inch A1286</strong></li>
</ul>
<p> انواع پارت نامبرهای مشابه :  <strong>A1321 , A1382</strong></p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل <strong>A1321</strong> شامل <strong>4</strong> <strong>ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل <strong>A1321</strong>  میppl توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>
</div>",2/17/2021 20:30,0000-00-00 00:00:00,2/18/2021 9:59,1856,IMAGEPATHKH/2e83d7bc595a142d5b8cc7504455fc0e.jpg,,,74,27,5600 میلی آمپر ساعت,11.1v,,چهار ماهه نارین,1170000
860,باتری لپ تاپ اپل مدل Battery Orginal Apple A1964,باتری-لپ-تاپ-اپل-مدل-battery-orginal-apple-a1964,"<p><strong>باتری لپ تاپ اپل مدل  A1964 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1964</li>
<li>Apple Macbook Retina 13"" A1989 2017-2018</li>
<li>Apple Macbook Pro 2018 13 EMC3214 A1989</li>
</ul>
<p> انواع پارت نامبرهای مشابه :  A1989 , A1964</p>
<p> </p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1964 شامل <strong>6 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1964 می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",1399-02-26 20:34:16,0000-00-00 00:00:00,1399-02-26 20:34:16,146,IMAGEPATHKH/fe9f389134b872478c99a836d55de88e.jpg,,,74,30,5086mAh,11.41V,,شش ماهه نارین,3400000
886,باتری لپ تاپ اپل مدل Battery Original Apple A1582,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1582,"<p><strong>باتری لپ تاپ اپل مدل  A1582 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1582</li>
<li>(APPLE A1502 (2015 year</li>
<li>Apple Macbook Pro A1502 2015</li>
</ul>
<p> انواع پارت نامبرهای مشابه :   A1582<strong> </strong> , A1502</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل <strong>A1582 </strong>شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل <strong>A1582 </strong>  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",1399-11-17 20:34:16,0000-00-00 00:00:00,1399-11-17 20:34:16,1252,IMAGEPATHKH/0b2c0f4f7276d5cab9ebf370bc3a4b57.jpg,,,74,321,6559mah/74.9Wh,11.42V,,چهار ماهه نارین,3350000
911,باتری لپ تاپ اپل مدل Battery Original Apple A1964,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1964,"<p><strong>باتری لپ تاپ اپل مدل  A1496 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1990</li>
<li>APPLE A1964</li>
<li>APPLE A1989</li>
<li>Apple Macbook Retina 13"" A1989 2017-2018</li>
<li>Apple Macbook Pro 2018 13 EMC3214 A1989</li>
</ul>
<p> انواع پارت نامبرهای مشابه :   A1989 , A1964 ,  A1990</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل  A1990 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل  A1990 می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",1399-09-29 20:34:16,0000-00-00 00:00:00,0000-00-00 00:00:00,850,IMAGEPATHKH/5d7e022bfc88ea606725533249e32b08.jpg,,,74,322,58Wh/5086mAh,11.41V,,چهار ماهه نارین,3800000
