id,title,lft,rgt
417,apple,2,3
418,lenovo,4,5
420,asus,6,7
421,dell,8,9
422,hp,10,11
423,acer,12,13
424,fujitsu,14,15
425,microsoft,16,17
426,sony,18,19
427,battery,20,21
428,orginal,22,23
429,bps13,24,25
430,silver,26,27
431,black,28,29
432,bps22,30,31
433,bps26,32,33
434,باتری,34,35
435,باطری,36,37
436,باتری لپتاپ,38,39
437,باتری اورجینال لپتاپ,40,41
438,باتری لپتاپ سونی,42,43
439,باتری لپ تاپ سونی BPS26,44,45
440,باتری اورجینال لپ تاپ سونی BPS25,46,47
441,اورجینال لپ تاپ سونی,48,49
442,سونی,50,51
443,باتری سونی,52,53
444,باتری لپ تاپ سونی مدل VGPBPS26,54,55
445,VGP BPS22,56,57
446,VGPBPS22,58,59
447,Sony Vaio VGPBPS22,60,61
448,BPS22A,62,63
449,BPL22,64,65
450,VGPBPL22,66,67
451,VGPBPS22A,68,69
452,باتری اورجینال,70,71
453,باتری اورجینال سونی,72,73
454,باتری لپ تاپ  ٰVGPBPS22,74,75
455,باتری لپ تاپ,76,77
456,باتری اورجینال لپ تاپ,78,79
457,باتری اورجینال لپ تاپ سونی,80,81
458,Sony Vaio VGPBPS26,82,83
459,VGPBPS26,84,85
460,VGP BPS26,86,87
461,VGPBPL26,88,89
462,VGPBPL26A,90,91
463,VGPBPS26A,92,93
464,VGP BPS35,94,95
465,VGPBPS35,96,97
466,Sony Vaio VGPBPS35,98,99
467,VGPBPS35A,100,101
468,باتری لپ تاپ سونی,102,103
469,BPS34A,104,105
470,VGPBPS34,106,107
471,Sony Vaio VGPBPS34,108,109
472,VGP BPS34,110,111
473,bps34,112,113
474,VGPBPS34A,114,115
475,Sony Vaio VGPBPS9,116,117
476,VGP BPS9,118,119
477,VGPBPS9,120,121
478,Sony Vaio VGPBPS13,122,123
479,VGP BPS13,124,125
480,یاتری لپ تاپ سونی,126,127
481,MB990LL/A,128,129
482,lap top battery,130,131
483,apple a1322,132,133
484,A1278 (2010),134,135
485,A1278 (2011),136,137
486,باتری اپل,138,139
487,باتری ائرجینال لپ تاپ اپل,140,141
488,A1406,142,143
489,باتری لپ تاپ اپل,144,145
490,باتری اورجینال لپ تاپ اپل,146,147
491,اپل,148,149
492,باتری لپ تاپ اپل a1406,150,151
493,فوجیتسو,152,153
494,باتری لپ تاپ فوجیتسو,154,155
495,باتری اورجینال لپ تاپ فوجیتسو,156,157
496,Dell Vostro,158,159
497,Dell Vostro 1520,160,161
498,Dell Vostro 1510,162,163
499,Dell Vostro 1310,164,165
500,Dell Vostro 1320,166,167
501,دل,168,169
502,باتری اورجینال لپ تاپ دل,170,171
503,dell inspiron,172,173
504,dell inspiron 1525,174,175
505,باتری لپ تاپ دل,176,177
506,Dell Inspiron 1564,178,179
507,1564,180,181
508,Battery Orginal,182,183
509,n5010,184,185
510,Dell Inspiron n5010,186,187
511,A1494,188,189
512,باتری لپ تاپ اپل a1494,190,191
513,A1496,192,193
514,otginal,194,195
515,باتری  لپ تاپ اپل a1496,196,197
516,A1382,198,199
517,باتری لپ تاپ اپل a1382,200,201
518,Dell A860,202,203
519,A860,204,205
520,اورجینال,206,207
521,دل A860,208,209
522,Dell 3521,210,211
523,3521,212,213
524,Battery Orginal Dell,214,215
525,Dell 3300,216,217
526,3300,218,219
527,Aspire 4710,220,221
528,4710,222,223
529,Battery Orginal Acer,224,225
530,باتری لپ تاپ ایسر,226,227
531,ایسر,228,229
532,Acer Aspire,230,231
533,5742,232,233
534,Aspire 5742,234,235
535,باتری اورجینال لپ تاپ ایسر,236,237
536,a32n56,238,239
537,orginal battery,240,241
538,orginal battery a32n56,242,243
539,باتری لپ تاپ ایسوس,244,245
540,باتری اورجینال لپ تاپ ایسوس a32n56,246,247
541,G500s,248,249
542,Battery Orginal Lenovo,250,251
543,Lenovo G500s,252,253
544,لنوو,254,255
545,باتری لپ تاپ لنوو,256,257
546,باتری اورجینال لپ تاپ لنوو,258,259
547,s451,260,261
