id,lft,rgt,title,alias
417,17774,418,apple,apple
418,417,420,lenovo,lenovo
420,418,421,asus,asus
421,420,422,dell,dell
422,421,423,hp,hp
423,422,424,acer,acer
424,423,425,fujitsu,fujitsu
425,424,426,microsoft,microsoft
426,425,427,sony,sony
427,426,428,battery,battery
428,427,429,orginal,orginal
429,428,430,bps13,bps13
430,429,431,silver,silver
431,430,432,black,black
432,431,433,bps22,bps22
433,432,434,bps26,bps26
434,433,435,باتری,باتری
435,434,436,باطری,باطری
436,435,437,باتری لپتاپ,باتری لپتاپ
437,436,438,باتری اورجینال لپتاپ,باتری اورجینال لپتاپ
438,437,439,باتری لپتاپ سونی,باتری لپتاپ سونی
439,438,440,باتری لپ تاپ سونی BPS26,باتری لپ تاپ سونی BPS26
440,439,441,باتری اورجینال لپ تاپ سونی BPS25,باتری اورجینال لپ تاپ سونی BPS25
441,440,442,اورجینال لپ تاپ سونی,اورجینال لپ تاپ سونی
442,441,443,سونی,سونی
443,442,444,باتری سونی,باتری سونی
444,443,445,باتری لپ تاپ سونی مدل VGPBPS26,باتری لپ تاپ سونی مدل VGPBPS26
445,444,446,VGP BPS22,VGP BPS22
446,445,447,VGPBPS22,VGPBPS22
447,446,448,Sony Vaio VGPBPS22,Sony Vaio VGPBPS22
448,447,449,BPS22A,BPS22A
449,448,450,BPL22,BPL22
450,449,451,VGPBPL22,VGPBPL22
451,450,452,VGPBPS22A,VGPBPS22A
452,451,453,باتری اورجینال,باتری اورجینال
453,452,454,باتری اورجینال سونی,باتری اورجینال سونی
454,453,455,باتری لپ تاپ  ٰVGPBPS22,باتری لپ تاپ  ٰVGPBPS22
455,454,456,باتری لپ تاپ,باتری لپ تاپ
456,455,457,باتری اورجینال لپ تاپ,باتری اورجینال لپ تاپ
457,456,458,باتری اورجینال لپ تاپ سونی,باتری اورجینال لپ تاپ سونی
458,457,459,Sony Vaio VGPBPS26,Sony Vaio VGPBPS26
459,458,460,VGPBPS26,VGPBPS26
460,459,461,VGP BPS26,VGP BPS26
461,460,462,VGPBPL26,VGPBPL26
462,461,463,VGPBPL26A,VGPBPL26A
463,462,464,VGPBPS26A,VGPBPS26A
464,463,465,VGP BPS35,VGP BPS35
465,464,466,VGPBPS35,VGPBPS35
466,465,467,Sony Vaio VGPBPS35,Sony Vaio VGPBPS35
467,466,468,VGPBPS35A,VGPBPS35A
468,467,469,باتری لپ تاپ سونی,باتری لپ تاپ سونی
469,468,470,BPS34A,BPS34A
470,469,471,VGPBPS34,VGPBPS34
471,470,472,Sony Vaio VGPBPS34,Sony Vaio VGPBPS34
472,471,473,VGP BPS34,VGP BPS34
473,472,474,bps34,bps34
474,473,475,VGPBPS34A,VGPBPS34A
475,474,476,Sony Vaio VGPBPS9,Sony Vaio VGPBPS9
476,475,477,VGP BPS9,VGP BPS9
477,476,478,VGPBPS9,VGPBPS9
478,477,479,Sony Vaio VGPBPS13,Sony Vaio VGPBPS13
479,478,480,VGP BPS13,VGP BPS13
480,479,481,یاتری لپ تاپ سونی,یاتری لپ تاپ سونی
481,480,482,MB990LL/A,MB990LL/A
482,481,483,lap top battery,lap top battery
483,482,484,apple a1322,apple a1322
